"condition","angle_rel_fish","dot_size_cm","dot_speed_blps","total_time_s"
1,-90,0.2,1,15
2,-90,0.2,4,3.75
3,-90,0.2,8,1.86666666666667
4,-90,0.5,1,15
5,-90,0.5,4,3.75
6,-90,0.5,8,1.86666666666667
7,-90,1,1,15
8,-90,1,4,3.75
9,-90,1,8,1.86666666666667
10,-90,2,1,15
11,-90,2,4,3.75
12,-90,2,8,1.86666666666667
13,-90,4,1,15
14,-90,4,4,3.75
15,-90,4,8,1.86666666666667
16,-90,8,1,15
17,-90,8,4,3.75
18,-90,8,8,1.86666666666667
19,90,0.2,1,15
20,90,0.2,4,3.75
21,90,0.2,8,1.86666666666667
22,90,0.5,1,15
23,90,0.5,4,3.75
24,90,0.5,8,1.86666666666667
25,90,1,1,15
26,90,1,4,3.75
27,90,1,8,1.86666666666667
28,90,2,1,15
29,90,2,4,3.75
30,90,2,8,1.86666666666667
31,90,4,1,15
32,90,4,4,3.75
33,90,4,8,1.86666666666667
34,90,8,1,15
35,90,8,4,3.75
36,90,8,8,1.86666666666667
