"condition"	"condition_num"	"start_dist_cm"	"dot_speed_cms"	"angle_rel_fish"	"dot_rad_cm"	"dot_dir"
"translate_anticlockwise_16_0.2"	1	15.2	16	180	0.2	"anticlockwise"
"translate_anticlockwise_16_0.5"	2	15.5	16	180	0.5	"anticlockwise"
"translate_anticlockwise_16_1"	3	16	16	180	1	"anticlockwise"
"translate_anticlockwise_16_2"	4	17	16	180	2	"anticlockwise"
"translate_anticlockwise_16_4"	5	19	16	180	4	"anticlockwise"
"translate_anticlockwise_16_8"	6	23	16	180	8	"anticlockwise"
"translate_anticlockwise_32_0.2"	7	15.2	32	180	0.2	"anticlockwise"
"translate_anticlockwise_32_0.5"	8	15.5	32	180	0.5	"anticlockwise"
"translate_anticlockwise_32_1"	9	16	32	180	1	"anticlockwise"
"translate_anticlockwise_32_2"	10	17	32	180	2	"anticlockwise"
"translate_anticlockwise_32_4"	11	19	32	180	4	"anticlockwise"
"translate_anticlockwise_32_8"	12	23	32	180	8	"anticlockwise"
"translate_anticlockwise_4_0.2"	13	15.2	4	180	0.2	"anticlockwise"
"translate_anticlockwise_4_0.5"	14	15.5	4	180	0.5	"anticlockwise"
"translate_anticlockwise_4_1"	15	16	4	180	1	"anticlockwise"
"translate_anticlockwise_4_2"	16	17	4	180	2	"anticlockwise"
"translate_anticlockwise_4_4"	17	19	4	180	4	"anticlockwise"
"translate_anticlockwise_4_8"	18	23	4	180	8	"anticlockwise"
"translate_clockwise_16_0.2"	19	15.2	16	180	0.2	"clockwise"
"translate_clockwise_16_0.5"	20	15.5	16	180	0.5	"clockwise"
"translate_clockwise_16_1"	21	16	16	180	1	"clockwise"
"translate_clockwise_16_2"	22	17	16	180	2	"clockwise"
"translate_clockwise_16_4"	23	19	16	180	4	"clockwise"
"translate_clockwise_16_8"	24	23	16	180	8	"clockwise"
"translate_clockwise_32_0.2"	25	15.2	32	180	0.2	"clockwise"
"translate_clockwise_32_0.5"	26	15.5	32	180	0.5	"clockwise"
"translate_clockwise_32_1"	27	16	32	180	1	"clockwise"
"translate_clockwise_32_2"	28	17	32	180	2	"clockwise"
"translate_clockwise_32_4"	29	19	32	180	4	"clockwise"
"translate_clockwise_32_8"	30	23	32	180	8	"clockwise"
"translate_clockwise_4_0.2"	31	15.2	4	180	0.2	"clockwise"
"translate_clockwise_4_0.5"	32	15.5	4	180	0.5	"clockwise"
"translate_clockwise_4_1"	33	16	4	180	1	"clockwise"
"translate_clockwise_4_2"	34	17	4	180	2	"clockwise"
"translate_clockwise_4_4"	35	19	4	180	4	"clockwise"
"translate_clockwise_4_8"	36	23	4	180	8	"clockwise"
