"condition","angle_rel_fish","dot_size_cm","dot_speed_blps","total_time_s"
1,-90,0.4,1,30
2,-90,0.4,4,7.5
3,-90,0.4,8,3.75
4,-90,1,1,30
5,-90,1,4,7.5
6,-90,1,8,3.75
7,-90,16,1,30
8,-90,16,4,7.5
9,-90,16,8,3.75
10,-90,2,1,30
11,-90,2,4,7.5
12,-90,2,8,3.75
13,-90,4,1,30
14,-90,4,4,7.5
15,-90,4,8,3.75
16,-90,8,1,30
17,-90,8,4,7.5
18,-90,8,8,3.75
19,90,0.4,1,30
20,90,0.4,4,7.5
21,90,0.4,8,3.75
22,90,1,1,30
23,90,1,4,7.5
24,90,1,8,3.75
25,90,16,1,30
26,90,16,4,7.5
27,90,16,8,3.75
28,90,2,1,30
29,90,2,4,7.5
30,90,2,8,3.75
31,90,4,1,30
32,90,4,4,7.5
33,90,4,8,3.75
34,90,8,1,30
35,90,8,4,7.5
36,90,8,8,3.75
